obs_id,true_value,meas_value,corr_value,diff(%)
0,  4.87051   2.70206 -0.248269  0.439914,  4.89455   3.02905 -0.260541  0.462621,   4.7329    2.9297 -0.260541  0.462621,-2.8253 8.42468 4.94309 5.16163
4, -4.81029  -4.08639 -0.291101  0.392372,-4.72721 -4.32889 -0.28597 0.419076,-4.57169 -4.18572 -0.28597 0.419076,-4.96024  2.43088  -1.7628  6.80575
18, 6.32744  3.57443 -0.38613 0.451551, 6.19442  3.80691 -0.39081 0.433579, 5.98978  3.68188 -0.39081 0.433579,-5.33642  3.00616  1.21206 -3.98001
0,  4.86223   2.71673 -0.248269  0.439914,  4.77295   2.68964 -0.260212  0.444509,  4.76243   2.74478 -0.260212  0.444509,-2.05252  1.03246  4.81024  1.04447
4, -4.81999  -4.07331 -0.291101  0.392372,-4.65906 -4.10109 -0.30187 0.415016,-4.64226 -4.11634 -0.30187 0.415016,-3.68737  1.05637  3.69945   5.7711
18, 6.31457  3.58948 -0.38613 0.451551, 6.41799  3.46396 -0.30144 0.435058, 6.32277   3.5141 -0.30144 0.435058,0.129748 -2.09985  -21.933 -3.65253
0,  4.85396   2.73139 -0.248269  0.439914,  4.97623   2.83715 -0.295057  0.413893,  4.92625   2.81972 -0.295057  0.413893, 1.48931  3.23406  18.8457 -5.91503
4, -4.82969  -4.06023 -0.291101  0.392372, -4.83077   -3.8216 -0.318634  0.366023, -4.79067  -3.88471 -0.318634  0.366023, -0.8079 -4.32276  9.45821 -6.71537
18,  6.3017  3.60453 -0.38613 0.451551,  6.17888   3.53487 -0.350975  0.402255,  6.20895   3.53346 -0.350975  0.402255, -1.4719 -1.97166 -9.10445  -10.917
0,  4.84568   2.74605 -0.248269  0.439914,    4.753   2.52739 -0.268247  0.458791,  4.78978    2.5963 -0.268247  0.458791,-1.15355 -5.45327  8.04669  4.29115
4,  -4.8394  -4.04715 -0.291101  0.392372,-4.89903 -4.57634  -0.2804 0.467326,-4.87703 -4.41789  -0.2804 0.467326,0.777657  9.16058  -3.6761  19.1028
18, 6.28883  3.61958 -0.38613 0.451551,  6.21928   3.58838 -0.416509  0.423286,  6.21432   3.57904 -0.416509  0.423286, -1.1848  -1.1202  7.86768 -6.25951
0,  4.83741   2.76072 -0.248269  0.439914,  4.68649   2.49617 -0.268544  0.456464,  4.70773   2.52216 -0.268544  0.456464, -2.6806 -8.64113  8.16657  3.76209
4,  -4.8491  -4.03407 -0.291101  0.392372, -4.92087  -4.11225 -0.269076  0.430761, -4.91311  -4.17756 -0.269076  0.430761, 1.31999  3.55685 -7.56618  9.78387
18, 6.27596  3.63463 -0.38613 0.451551,  6.38698   3.63838 -0.332642  0.412237,  6.34498    3.6282 -0.332642  0.412237,  1.09973 -0.177097  -13.8525  -8.70648
0,  4.82913   2.77538 -0.248269  0.439914,  4.75841    3.0519 -0.240736  0.452807,  4.74499   2.93605 -0.240736  0.452807,-1.74244  5.78919 -3.03434  2.93091
4,  -4.8588  -4.02099 -0.291101  0.392372, -4.61202  -4.25475 -0.285588  0.385968, -4.68183  -4.23414 -0.285588  0.385968, -3.6424  5.30084 -1.89378 -1.63224
18, 6.26309  3.64968 -0.38613 0.451551,  6.22871   4.17601 -0.370108  0.449145,  6.25239   4.05577 -0.370108  0.449145,-0.170815   11.1265   -4.1493 -0.532719
0,  4.82086   2.79004 -0.248269  0.439914,  4.95995   3.26921 -0.243292  0.438143,  4.90975    3.1976 -0.243292  0.438143,  1.84387   14.6075   -2.0049 -0.402627
4, -4.86851  -4.00791 -0.291101  0.392372, -5.04158  -4.04087 -0.323174  0.383373, -4.96273  -4.08148 -0.323174  0.383373, 1.93532   1.8357  11.0178 -2.29359
18, 6.25022  3.66474 -0.38613 0.451551,  6.31272   3.88854 -0.413317  0.456981,  6.29636   3.92956 -0.413317  0.456981,0.738263  7.22629  7.04092  1.20268
0,  4.81258   2.80471 -0.248269  0.439914,  4.52775   2.56226 -0.279324  0.443196,  4.61193    2.7086 -0.279324  0.443196,-4.16929 -3.42686  12.5085 0.746091
4, -4.87821  -3.99483 -0.291101  0.392372, -5.13712  -3.72783 -0.297083   0.39903, -5.10028  -3.80458 -0.297083   0.39903, 4.55226 -4.76258  2.05483  1.69676
18, 6.23735  3.67979 -0.38613 0.451551,  6.50227   3.87458 -0.366647  0.423188,  6.45281   3.89039 -0.366647  0.423188, 3.45439  5.72324 -5.04572 -6.28116
0,   4.8043   2.81937 -0.248269  0.439914,  5.36617   2.96271 -0.226911  0.481026,  5.19426   2.90883 -0.226911  0.481026, 8.11683  3.17284 -8.60269  9.34539
4, -4.88791  -3.98175 -0.291101  0.392372, -4.55775  -3.70114 -0.318393  0.398933, -4.68213  -3.72143 -0.318393  0.398933,-4.21012 -6.53783  9.37535  1.67219
18, 6.22448  3.69484 -0.38613 0.451551,  6.27328   3.45599 -0.416046   0.41926,  6.31095   3.55697 -0.416046   0.41926, 1.38926 -3.73144  7.74757   -7.151
0,  4.79603   2.83404 -0.248269  0.439914,  4.66544   3.06405 -0.281153  0.486758,   4.7828   3.03271 -0.281153  0.486758,-0.275761   7.01032   13.2451   10.6484
