obs_id,true_value,meas_value,corr_value,diff(%)
0,  4.87051   2.70206 -0.248269  0.439914,  4.73633   3.06989 -0.260541  0.462621,   4.5799   2.96919 -0.260541  0.462621,-5.96668  9.88607  4.94309  5.16163
4, -4.81029  -4.08639 -0.291101  0.392372,-4.62537 -4.07374 -0.28597 0.419076, -4.4732 -3.93898 -0.28597 0.419076,-7.0076 -3.6072 -1.7628 6.80575
18, 6.32744  3.57443 -0.38613 0.451551, 6.14042   3.6484 -0.39081 0.433579, 5.93756   3.5286 -0.39081 0.433579,-6.16173 -1.28201  1.21206 -3.98001
0,  4.86223   2.71673 -0.248269  0.439914,  4.72723    2.6533 -0.260212  0.444509,  4.70203   2.70675 -0.260212  0.444509, -3.29478 -0.367151   4.81024   1.04447
4, -4.81999  -4.07331 -0.291101  0.392372,-4.94749 -4.03317 -0.30187 0.415016,-4.87248 -4.01572 -0.30187 0.415016, 1.08909 -1.41386  3.69945   5.7711
18, 6.31457  3.58948 -0.38613 0.451551,   6.337  3.50815 -0.30144 0.435058, 6.27064  3.51379 -0.30144 0.435058,-0.695791  -2.10848   -21.933  -3.65253
0,  4.85396   2.73139 -0.248269  0.439914,  4.96013   2.57367 -0.295057  0.413893,  4.91303   2.59963 -0.295057  0.413893, 1.21691 -4.82406  18.8457 -5.91503
4, -4.82969  -4.06023 -0.291101  0.392372, -4.60656  -3.87943 -0.318634  0.366023, -4.65523  -3.90115 -0.318634  0.366023, -3.6123  -3.9179  9.45821 -6.71537
18,  6.3017  3.60453 -0.38613 0.451551,  6.19907   3.22222 -0.350975  0.402255,  6.20975   3.27603 -0.350975  0.402255,-1.45922 -9.11355 -9.10445  -10.917
0,  4.84568   2.74605 -0.248269  0.439914,  4.87465   2.61218 -0.268247  0.458791,  4.87981   2.61254 -0.268247  0.458791, 0.70437 -4.86189  8.04669  4.29115
4,  -4.8394  -4.04715 -0.291101  0.392372,-4.92355 -4.66027  -0.2804 0.467326,-4.87758 -4.52274  -0.2804 0.467326,0.789106  11.7513  -3.6761  19.1028
18, 6.28883  3.61958 -0.38613 0.451551,  6.50668   3.75029 -0.416509  0.423286,  6.45156   3.66838 -0.416509  0.423286, 2.58765  1.34815  7.86768 -6.25951
0,  4.83741   2.76072 -0.248269  0.439914,  4.48897   2.41813 -0.268544  0.456464,  4.55698   2.45547 -0.268544  0.456464,-5.79698 -11.0568  8.16657  3.76209
4,  -4.8491  -4.03407 -0.291101  0.392372, -4.86319  -4.03439 -0.269076  0.430761, -4.86738  -4.11871 -0.269076  0.430761,0.376948  2.09804 -7.56618  9.78387
18, 6.27596  3.63463 -0.38613 0.451551,  6.42948   3.86338 -0.332642  0.412237,  6.43122   3.83113 -0.332642  0.412237, 2.47384  5.40613 -13.8525 -8.70648
0,  4.82913   2.77538 -0.248269  0.439914,   4.8166   2.95353 -0.240736  0.452807,  4.76885   2.86752 -0.240736  0.452807,-1.24822  3.31979 -3.03434  2.93091
4,  -4.8588  -4.02099 -0.291101  0.392372, -4.57596  -4.04205 -0.285588  0.385968, -4.62952   -4.0533 -0.285588  0.385968,-4.71896 0.803391 -1.89378 -1.63224
18, 6.26309  3.64968 -0.38613 0.451551,  6.45844   4.24248 -0.370108  0.449145,  6.45149   4.17178 -0.370108  0.449145,  3.00817   14.3052   -4.1493 -0.532719
0,  4.82086   2.79004 -0.248269  0.439914,  5.12943   2.89484 -0.243292  0.438143,  5.06377   2.89262 -0.243292  0.438143,  5.03875   3.67631   -2.0049 -0.402627
4, -4.86851  -4.00791 -0.291101  0.392372,  -5.1567  -4.05389 -0.323174  0.383373, -5.06462   -4.0515 -0.323174  0.383373, 4.02824  1.08766  11.0178 -2.29359
18, 6.25022  3.66474 -0.38613 0.451551,  6.09229   3.77426 -0.413317  0.456981,  6.15393   3.84775 -0.413317  0.456981,-1.54053  4.99396  7.04092  1.20268
0,  4.81258   2.80471 -0.248269  0.439914,  4.85996   2.65052 -0.279324  0.443196,   4.8947   2.69625 -0.279324  0.443196, 1.70633 -3.86685  12.5085 0.746091
4, -4.87821  -3.99483 -0.291101  0.392372, -5.14126  -3.92899 -0.297083   0.39903, -5.12945  -3.94849 -0.297083   0.39903, 5.15017 -1.16015  2.05483  1.69676
18, 6.23735  3.67979 -0.38613 0.451551,  6.29588   4.07777 -0.366647  0.423188,   6.2683    4.0394 -0.366647  0.423188,0.496167  9.77274 -5.04572 -6.28116
0,   4.8043   2.81937 -0.248269  0.439914,   4.9999   2.97906 -0.226911  0.481026,  4.97968   2.93145 -0.226911  0.481026, 3.65031  3.97516 -8.60269  9.34539
4, -4.88791  -3.98175 -0.291101  0.392372, -4.75675  -3.93518 -0.318393  0.398933, -4.82496  -3.93518 -0.318393  0.398933,-1.28785  -1.1697  9.37535  1.67219
18, 6.22448  3.69484 -0.38613 0.451551,  6.29085   3.41284 -0.416046   0.41926,   6.2845   3.52694 -0.416046   0.41926,0.964265 -4.54426  7.74757   -7.151
0,  4.79603   2.83404 -0.248269  0.439914,  4.60635   2.86318 -0.281153  0.486758,  4.67132   2.87821 -0.281153  0.486758,-2.60029  1.55871  13.2451  10.6484
4, -4.89762  -3.96867 -0.291101  0.392372, -4.85459  -3.90058 -0.294879  0.366891, -4.85113  -3.90448 -0.294879  0.366891,-0.949183  -1.61756    1.2976  -6.49402
18, 6.21161  3.70989 -0.38613 0.451551,  5.92299   3.95675 -0.419018  0.463469,   5.9849   3.88283 -0.419018  0.463469,-3.64973  4.66148  8.51733  2.63945
0,  4.78775    2.8487 -0.248269  0.439914,  4.57893    2.8984 -0.227509  0.464285,  4.59389   2.89762 -0.227509  0.464285,-4.04914  1.71741 -8.36215  5.54003
4, -4.90732   -3.9556 -0.291101  0.392372,  -4.8319   -3.9487 -0.285782   0.39454, -4.83704  -3.93855 -0.285782   0.39454, -1.43204 -0.430861  -1.82731   0.55259
18, 6.19874  3.72494 -0.38613 0.451551,  6.16026   4.02243 -0.347395  0.432356,  6.12677   4.00021 -0.347395  0.432356,-1.16099  7.38995 -10.0316 -4.25093
0,  4.77948   2.86336 -0.248269  0.439914,  4.82153    2.8731 -0.249024  0.453268,  4.77957   2.88019 -0.249024  0.453268,0.00183572   0.587594    0.30402    3.03559
4, -4.91702  -3.94252 -0.291101  0.392372, -5.01445   -4.0572 -0.292938  0.417421, -4.98458  -4.03365 -0.292938  0.417421, 1.37387   2.3115 0.631067  6.38392
18, 6.18586  3.73999 -0.38613 0.451551,  5.85755    3.8264 -0.376909  0.430597,  5.90334   3.85992 -0.376909  0.430597,-4.56723  3.20657 -2.38808 -4.64048
0,   4.7712   2.87803 -0.248269  0.439914,  4.71112   2.73767 -0.238812   0.47346,  4.72187   2.76581 -0.238812   0.47346,-1.03402 -3.89902 -3.80941  7.62567
4, -4.92673  -3.92944 -0.291101  0.392372, -5.39525  -3.79559 -0.304142  0.395136, -5.32388  -3.83559 -0.304142  0.395136, 8.06123 -2.38837  4.47983 0.704445
18, 6.17299  3.75505 -0.38613 0.451551, 6.16161  3.61678 -0.37691 0.406898, 6.11337  3.66257 -0.37691 0.406898,-0.965826  -2.46278  -2.38772  -9.88863
0,  4.76293   2.89269 -0.248269  0.439914,  4.78369    3.1715 -0.261068  0.405242,  4.77119   3.10183 -0.261068  0.405242,0.173428  7.22991  5.15532 -7.88146
4, -4.93643  -3.91636 -0.291101  0.392372,  -5.1403  -4.04678 -0.262316  0.423125, -5.17466  -4.00672 -0.262316  0.423125, 4.82605  2.30738 -9.88835  7.83779
18, 6.16012   3.7701 -0.38613 0.451551,  6.26005   3.85944 -0.366471  0.485178,  6.23172   3.82704 -0.366471  0.485178, 1.16232  1.51045 -5.09138  7.44699
0,  4.75465   2.90735 -0.248269  0.439914, 4.60399  3.26556 -0.23278  0.38653, 4.63231  3.23874 -0.23278  0.38653,  -2.573  11.3982 -6.23886  -12.135
4, -4.94613  -3.90328 -0.291101  0.392372, -4.68214  -3.74781 -0.352299  0.382553, -4.77172  -3.79155 -0.352299  0.382553, -3.5263 -2.86252  21.0228 -2.50246
18, 6.14725  3.78515 -0.38613 0.451551,  5.80673   3.59448 -0.384161  0.447006,  5.88019   3.63866 -0.384161  0.447006, -4.34435  -3.87019 -0.509973  -1.00636
0,  4.74638   2.92202 -0.248269  0.439914,  4.02874   3.07931 -0.237209  0.484761,  4.13485   3.11032 -0.237209  0.484761,-12.8841  6.44422 -4.45483  10.1945
4, -4.95583   -3.8902 -0.291101  0.392372, -4.99457  -3.93379 -0.301112   0.38786,  -4.9568  -3.90617 -0.301112   0.38786,0.0195321  0.410414    3.4388  -1.15001
18, 6.13438   3.8002 -0.38613 0.451551,  6.12924   3.86336 -0.431911  0.429934,  6.08245   3.82593 -0.431911  0.429934,-0.846594   0.67718   11.8564  -4.78724
0,   4.7381   2.93668 -0.248269  0.439914,  4.66252   3.34877 -0.258045   0.45662,  4.56706   3.30909 -0.258045   0.45662,-3.60992  12.6811  3.93761  3.79765
4, -4.96554  -3.87712 -0.291101  0.392372,   -4.963  -3.81783 -0.295493  0.426468, -4.96367  -3.83114 -0.295493  0.426468,-0.0376627   -1.18606    1.50854    8.68976
18, 6.12151  3.81525 -0.38613 0.451551,  5.78406   3.86715 -0.368585  0.448704,  5.83485   3.86242 -0.368585  0.448704, -4.68286   1.23642  -4.54379 -0.630471
0,  4.72982   2.95135 -0.248269  0.439914,  4.69622   2.65161 -0.260007  0.485539,  4.67168   2.77152 -0.260007  0.485539,-1.22936 -6.09299  4.72779  10.3714
4, -4.97524  -3.86404 -0.291101  0.392372, -4.79121  -3.93094 -0.272869   0.39826, -4.82361  -3.91072 -0.272869   0.39826,-3.04781  1.20812 -6.26314  1.50064
18, 6.10864   3.8303 -0.38613 0.451551,  6.02362   3.56634 -0.388067  0.432209,  5.98774   3.62169 -0.388067  0.432209, -1.9791 -5.44646 0.501699 -4.28332
0,  4.72155   2.96601 -0.248269  0.439914, 5.07989  2.60381 -0.22505 0.446685, 5.00575  2.63643 -0.22505 0.446685, 6.01929 -11.1117 -9.35247  1.53919
4, -4.98494  -3.85096 -0.291101  0.392372, -4.95047  -4.00419 -0.273588  0.423459, -4.92949   -3.9851 -0.273588  0.423459,-1.11239  3.48312 -6.01632  7.92289
18, 6.09577  3.84536 -0.38613 0.451551,   6.4029   3.74976 -0.365682  0.505203,  6.32672   3.72976 -0.365682  0.505203, 3.78877 -3.00621 -5.29569  11.8817
0,  4.71327   2.98067 -0.248269  0.439914,  4.78147   3.19451 -0.250771  0.454972,     4.82   3.09779 -0.250771  0.454972,2.26434 3.92916 1.00762 3.42293
4, -4.99465  -3.83788 -0.291101  0.392372, -5.51092  -3.90938 -0.286361  0.377268, -5.40902   -3.9205 -0.286361  0.377268, 8.29642   2.1527  -1.6283 -3.84949
18,  6.0829  3.86041 -0.38613 0.451551,  6.25766   4.14038 -0.431252  0.498565,  6.26757   4.07022 -0.431252  0.498565,  3.036 5.43491 11.6858 10.4117
0,    4.705   2.99534 -0.248269  0.439914,  4.42021   3.00505 -0.276378  0.472203,  4.48984   3.02433 -0.276378  0.472203,-4.57289 0.967807   11.322  7.33993
4, -5.00435   -3.8248 -0.291101  0.392372, -4.71978  -3.88014 -0.275271  0.398791, -4.84421  -3.88502 -0.275271  0.398791,-3.20002   1.5744 -5.43821  1.63593
18, 6.07003  3.87546 -0.38613 0.451551, 6.12947  4.24359 -0.40037 0.434044, 6.15161  4.21546 -0.40037 0.434044, 1.34394  8.77308  3.68797 -3.87701
0,  4.69672      3.01 -0.248269  0.439914,  4.63342   3.49158 -0.293916   0.42001,  4.60615   3.41099 -0.293916   0.42001,-1.92847   13.322  18.3859 -4.52448
4, -5.01405  -3.81172 -0.291101  0.392372, -5.17101  -3.40939 -0.268538  0.397611, -5.11441  -3.49174 -0.268538  0.397611, 2.00152 -8.39464  -7.7511  1.33519
18, 6.05716  3.89051 -0.38613 0.451551,  6.17704   4.35071 -0.355758  0.406004,  6.17028   4.32911 -0.355758  0.406004, 1.86759  11.2735 -7.86562 -10.0868
0,  4.68845   3.02466 -0.248269  0.439914,  4.78696   3.23096 -0.229853  0.438304,  4.75322   3.26558 -0.229853  0.438304,  1.38159   7.96492  -7.41776 -0.366071
4, -5.02376  -3.79865 -0.291101  0.392372, -5.08186  -3.80014 -0.251728  0.358189, -5.08919  -3.74298 -0.251728  0.358189, 1.30254  -1.4654 -13.5256 -8.71201
18, 6.04429  3.90556 -0.38613 0.451551,  5.52731   3.79992 -0.374632  0.412279,  5.63966   3.89661 -0.374632  0.412279, -6.69435 -0.229282  -2.97765  -8.69712
0,  4.68017   3.03933 -0.248269  0.439914,  4.67696   2.84228 -0.268915  0.503497,  4.68905   2.92049 -0.268915  0.503497,0.189709    -3.91  8.31596  14.4535
4, -5.03346  -3.78557 -0.291101  0.392372,-5.06161 -3.23851 -0.25778 0.404347,-5.06803 -3.32609 -0.25778 0.404347,0.686884 -12.1376 -11.4467  3.05203
18, 6.03141  3.92061 -0.38613 0.451551,  6.15665   4.04044 -0.372056  0.438217,  6.06235   4.01735 -0.372056  0.438217,0.512871  2.46742 -3.64496 -2.95278
0,   4.6719   3.05399 -0.248269  0.439914,  4.5315  2.99488 -0.22596 0.389298, 4.55811  2.98425 -0.22596 0.389298,-2.43561 -2.28363 -8.98587 -11.5059
4, -5.04316  -3.77249 -0.291101  0.392372, -5.48441  -3.57928 -0.268378  0.349973, -5.41181  -3.53196 -0.268378  0.349973,  7.3099  -6.3759 -7.80612 -10.8059
18, 6.01854  3.93567 -0.38613 0.451551,   6.1075   4.06607 -0.367326  0.435481,  6.09726   4.05999 -0.367326  0.435481, 1.30791   3.1589 -4.86994 -3.55884
0,  4.66362   3.06866 -0.248269  0.439914,  4.73574   3.30338 -0.283749  0.487478,  4.70257   3.24917 -0.283749  0.487478,0.835167  5.88252  14.2909   10.812
4, -5.05287  -3.75941 -0.291101  0.392372,-5.34348 -3.72238 -0.24241 0.379102,-5.35716 -3.68629 -0.24241 0.379102, 6.02213 -1.94497 -16.7264 -3.38192
18, 6.00567  3.95072 -0.38613 0.451551,  6.32274   3.69808 -0.415611  0.457757,  6.28024    3.7652 -0.415611  0.457757,4.57178 -4.6958 7.63509 1.37436
0,  4.65534   3.08332 -0.248269  0.439914,  4.76108   3.12465 -0.255002  0.482658,  4.74907   3.14971 -0.255002  0.482658,2.01322 2.15321 2.71188 9.71638
