obs_id,true_value,meas_value,corr_value,diff(%)
0,  4.87051   2.70206 -0.248269  0.439914,  4.80196    2.7639 -0.260541  0.462621,  4.64337   2.67329 -0.260541  0.462621,-4.66353 -1.06471  4.94309  5.16163
4, -4.81029  -4.08639 -0.291101  0.392372,-4.77987 -4.44109 -0.28597 0.419076, -4.6226 -4.29422 -0.28597 0.419076,-3.90173  5.08591  -1.7628  6.80575
18, 6.32744  3.57443 -0.38613 0.451551, 6.11665  3.67668 -0.39081 0.433579, 5.91457  3.55594 -0.39081 0.433579, -6.52509 -0.517054   1.21206  -3.98001
0,  4.86223   2.71673 -0.248269  0.439914,  5.00621   2.83691 -0.260212  0.444509,  4.92603   2.80493 -0.260212  0.444509,1.31214 3.24662 4.81024 1.04447
4, -4.81999  -4.07331 -0.291101  0.392372,-4.77781 -4.20487 -0.30187 0.415016,-4.74638 -4.22114 -0.30187 0.415016,-1.52729  3.62932  3.69945   5.7711
18, 6.31457  3.58948 -0.38613 0.451551, 6.48422  3.42335 -0.30144 0.435058, 6.35847  3.45509 -0.30144 0.435058,0.695195 -3.74406  -21.933 -3.65253
0,  4.85396   2.73139 -0.248269  0.439914,  4.91587   2.73124 -0.295057  0.413893,   4.9162   2.75112 -0.295057  0.413893, 1.28238 0.722407  18.8457 -5.91503
4, -4.82969  -4.06023 -0.291101  0.392372, -4.60031  -3.83051 -0.318634  0.366023, -4.63539  -3.91516 -0.318634  0.366023,-4.02321 -3.57281  9.45821 -6.71537
18,  6.3017  3.60453 -0.38613 0.451551,   6.2627   3.32572 -0.350975  0.402255,  6.28196   3.35804 -0.350975  0.402255,-0.313266  -6.83827  -9.10445   -10.917
0,  4.84568   2.74605 -0.248269  0.439914,  4.82256   2.79353 -0.268247  0.458791,  4.84143   2.78709 -0.268247  0.458791,-0.087767   1.49421   8.04669   4.29115
4,  -4.8394  -4.04715 -0.291101  0.392372, -4.6237 -4.53344  -0.2804 0.467326,-4.62872  -4.3915  -0.2804 0.467326,-4.35336  8.50854  -3.6761  19.1028
18, 6.28883  3.61958 -0.38613 0.451551,  6.19556   3.72263 -0.416509  0.423286,  6.21238   3.64357 -0.416509  0.423286,-1.21573 0.662709  7.86768 -6.25951
0,  4.83741   2.76072 -0.248269  0.439914,  4.58121   2.39754 -0.268544  0.456464,  4.63778   2.48869 -0.268544  0.456464,-4.12668 -9.85364  8.16657  3.76209
4,  -4.8491  -4.03407 -0.291101  0.392372, -5.07369  -3.93642 -0.269076  0.430761, -4.97561  -4.03538 -0.269076  0.430761,   2.6089 0.0323638  -7.56618   9.78387
18, 6.27596  3.63463 -0.38613 0.451551,  6.59414   3.51331 -0.332642  0.412237,  6.50506   3.54582 -0.332642  0.412237,  3.6504 -2.44359 -13.8525 -8.70648
0,  4.82913   2.77538 -0.248269  0.439914,  4.54761   3.23195 -0.240736  0.452807,   4.5659   3.06803 -0.240736  0.452807,-5.45099  10.5444 -3.03434  2.93091
4,  -4.8588  -4.02099 -0.291101  0.392372, -4.71207  -4.14581 -0.285588  0.385968, -4.77343  -4.11771 -0.285588  0.385968,-1.75718  2.40543 -1.89378 -1.63224
18, 6.26309  3.64968 -0.38613 0.451551,  6.47509   4.22894 -0.370108  0.449145,  6.47934   4.07823 -0.370108  0.449145,  3.45278   11.7419   -4.1493 -0.532719
